Testing Datasets,Precision@20%,Recall@20%,F1,PofB@20%,PMI@20%,IFA,Norm(Popt)
Ant-1.4,0.352941176,0.15,0.210526316,0.127659574,0.095505618,1,0.509177148
Ant-1.5,0.444444444,0.426666667,0.43537415,0.300884956,0.235294118,1,0.76006065
Ant-1.6,0.725,0.367088608,0.487394958,0.382488479,0.128205128,1,0.784561289
Ant-1.7,0.345454545,0.395833333,0.368932039,0.245283019,0.14986376,7,0.647347247
Camel-1.2,0.117647059,0.363636364,0.177777778,0.416666667,0.069105691,4,0.780772897
Camel-1.4,0.764705882,0.351351351,0.481481481,0.372093023,0.155963303,2,0.730307114
Camel-1.6,0.965517241,0.148148148,0.256880734,0.180722892,0.141463415,0,0.432577472
Ivy-1.4,0.732142857,0.284722222,0.41,0.231884058,0.226720648,0,0.555104292
Ivy-2.0,0.65248227,0.45320197,0.534883721,0.412974684,0.414705882,2,0.637798836
Jedit-4.0,0.085271318,0.297297297,0.13253012,0.307692308,0.410828025,12,0.508349709
Jedit-4.1,0.733333333,0.044354839,0.08365019,0.112903226,0.038961039,1,0.355972606
Jedit-4.2,0.066666667,0.25,0.105263158,0.228571429,0.409556314,22,0.6321128
Jedit-4.3,0.710382514,0.462633452,0.560344828,0.354,0.414027149,0,0.65263483
Log4j-1.1,0.265625,0.283333333,0.274193548,0.343434343,0.288288288,0,0.625083512
Log4j-1.2,0.5,0.162790698,0.245614035,0.186206897,0.109375,1,0.547160198
Lucene-2.2,0.632258065,0.690140845,0.65993266,0.531722054,0.724299065,0,0.883754991
Lucene-2.4,0.380530973,0.551282051,0.45026178,0.405263158,0.493449782,10,0.730378034
Poi-2.0,0.472081218,0.240310078,0.318493151,0.271186441,0.245330012,1,0.606184829
Poi-2.5,0.534328358,0.435523114,0.479892761,0.3968,0.378531073,4,0.650879888
Poi-3.0,1,0.312917595,0.476675148,0.338829349,0.309130913,0,0.495606853
Synapse-1.1,0.231578947,0.61971831,0.337164751,0.660869565,0.431818182,1,0.823769074
Synapse-1.2,0.126984127,0.347826087,0.186046512,0.471502591,0.417218543,5,0.695283841
Velocity-1.5,0.351351351,0.141304348,0.201550388,0.206521739,0.105413105,3,0.562750984
Velocity-1.6,1,0.09610984,0.175365344,0.218671679,0.071428571,0,0.554217405
Xalan-2.5,0.494252874,0.259036145,0.339920949,0.25739645,0.116778523,4,0.599204961
Xalan-2.6,0.408759124,0.259259259,0.317280453,0.235632184,0.225328947,3,0.477480025
Xalan-2.7,0.396648045,0.489655172,0.438271605,0.447761194,0.205275229,12,0.737427305
Xerces-1.2,0.489795918,0.255319149,0.335664336,0.406,0.101554404,4,0.733016509
Xerces-1.3,0.055555556,0.3125,0.094339623,0.277777778,0.373443983,28,0.511819836
Xerces-1.4,0.052980132,0.2,0.083769634,0.178571429,0.428977273,30,0.500949182
max,1,0.690140845,0.65993266,0.660869565,0.724299065,30,0.883754991
up_one_forth,0.695907453,0.418958333,0.447264236,0.403147368,0.410510098,4.75,0.730360304
median,0.458262831,0.304898649,0.327078743,0.304288632,0.231007383,2,0.628598156
mean,0.469623967,0.321732009,0.321982538,0.316932372,0.263861366,5.3,0.624058144
down_one_forth,0.285582386,0.242732558,0.189922481,0.229399586,0.119635175,1,0.520654926
min,0.052980132,0.044354839,0.08365019,0.112903226,0.038961039,0,0.355972606
