Testing Datasets,Precision@20%,Recall@20%,F1,PofB@20%,PMI@20%,IFA,Norm(Popt)
Ant-1.4,0.4,0.1,0.16,0.085106383,0.056179775,0,0.379392231
Ant-1.5,0.472727273,0.346666667,0.4,0.274336283,0.179738562,7,0.627707906
Ant-1.6,0.694444444,0.316455696,0.434782609,0.285714286,0.115384615,1,0.50956626
Ant-1.7,0.306122449,0.3125,0.309278351,0.198113208,0.133514986,0,0.543450709
Camel-1.2,0.076923077,0.090909091,0.083333333,0.083333333,0.026422764,9,0.598256871
Camel-1.4,0.75,0.162162162,0.266666667,0.139534884,0.073394495,0,0.522572433
Camel-1.6,0.916666667,0.116402116,0.20657277,0.146586345,0.117073171,0,0.345848054
Ivy-1.4,0.720930233,0.215277778,0.331550802,0.178743961,0.174089069,0,0.454261833
Ivy-2.0,0.637096774,0.389162562,0.483180428,0.32278481,0.364705882,0,0.540465773
Jedit-4.0,0.050847458,0.162162162,0.077419355,0.179487179,0.375796178,15,0.390781668
Jedit-4.1,0.442477876,0.201612903,0.27700831,0.169354839,0.293506494,0,0.348099554
Jedit-4.2,0.049079755,0.25,0.082051282,0.228571429,0.556313993,0,0.564321816
Jedit-4.3,0.711864407,0.448398577,0.550218341,0.33,0.400452489,2,0.595787665
Log4j-1.1,0.305555556,0.183333333,0.229166667,0.171717172,0.162162162,0,0.439394494
Log4j-1.2,0.6,0.139534884,0.226415094,0.151724138,0.078125,1,0.532141828
Lucene-2.2,0.61589404,0.654929577,0.634812287,0.528700906,0.705607477,0,0.83588258
Lucene-2.4,0.361904762,0.487179487,0.415300546,0.347368421,0.458515284,13,0.640521896
Poi-2.0,0.571428571,0.299741602,0.393220339,0.316384181,0.252801993,1,0.55712788
Poi-2.5,0.468085106,0.321167883,0.380952381,0.3008,0.318644068,32,0.640159462
Poi-3.0,1,0.231625835,0.376130199,0.269579555,0.228822882,0,0.394163997
Synapse-1.1,0.18579235,0.478873239,0.267716535,0.530434783,0.415909091,1,0.777264367
Synapse-1.2,0.142857143,0.536231884,0.225609756,0.383419689,0.571743929,0,0.582992616
Velocity-1.5,0.164948454,0.173913043,0.169312169,0.152173913,0.276353276,0,0.472057502
Velocity-1.6,0.816901408,0.398169336,0.535384615,0.299498747,0.362244898,0,0.523794156
Xalan-2.5,0.506666667,0.228915663,0.315352697,0.210059172,0.100671141,6,0.567725088
Xalan-2.6,0.322222222,0.134259259,0.189542484,0.109195402,0.148026316,2,0.384231044
Xalan-2.7,0.266055046,0.2,0.228346457,0.205970149,0.125,2,0.566085553
Xerces-1.2,0.172680412,0.356382979,0.232638889,0.308,0.402072539,2,0.586415769
Xerces-1.3,0.066666667,0.3125,0.10989011,0.277777778,0.31120332,0,0.534908459
Xerces-1.4,0.060606061,0.15,0.086330935,0.160714286,0.28125,12,0.477152484
max,1,0.654929577,0.634812287,0.530434783,0.705607477,32,0.83588258
up_one_forth,0.631796091,0.353953901,0.390153349,0.3062,0.373023604,2,0.585559981
median,0.421238938,0.240812918,0.267191601,0.2193153,0.264577634,0.5,0.537687116
mean,0.428581496,0.279948924,0.289272814,0.244839508,0.268857528,3.533333333,0.531084398
down_one_forth,0.175958397,0.165099882,0.193800055,0.162874424,0.127128747,0,0.45871075
min,0.049079755,0.090909091,0.077419355,0.083333333,0.026422764,0,0.345848054
